date,store,dept,category,sales,inventory
2023-01-01,1,1,Electronics,3944,55
2023-01-01,1,2,Clothing,1560,329
2023-01-01,1,3,Grocery,3920,351
2023-01-01,2,1,Electronics,4776,144
2023-01-01,2,2,Clothing,3670,237
2023-01-01,2,3,Grocery,1639,240
2023-01-01,3,1,Electronics,2800,465
2023-01-01,3,2,Clothing,1684,305
2023-01-01,3,3,Grocery,3894,177
2023-01-01,4,1,Electronics,2565,330
2023-01-01,4,2,Clothing,1069,372
2023-01-01,4,3,Grocery,2395,223
2023-01-01,5,1,Electronics,4363,163
2023-01-01,5,2,Clothing,4514,391
2023-01-01,5,3,Grocery,2186,499
2023-01-02,1,1,Electronics,654,435
2023-01-02,1,2,Clothing,4557,322
2023-01-02,1,3,Grocery,3675,466
2023-01-02,2,1,Electronics,4841,225
2023-01-02,2,2,Clothing,3306,75
2023-01-02,2,3,Grocery,2341,458
2023-01-02,3,1,Electronics,2955,62
2023-01-02,3,2,Clothing,3450,362
2023-01-02,3,3,Grocery,4631,222
2023-01-02,4,1,Electronics,4615,370
2023-01-02,4,2,Clothing,4347,449
2023-01-02,4,3,Grocery,3201,420
2023-01-02,5,1,Electronics,1666,141
2023-01-02,5,2,Clothing,3274,496
2023-01-02,5,3,Grocery,1353,100
2023-01-03,1,1,Electronics,4236,235
2023-01-03,1,2,Clothing,1074,239
2023-01-03,1,3,Grocery,1648,199
2023-01-03,2,1,Electronics,2215,219
2023-01-03,2,2,Clothing,4354,103
2023-01-03,2,3,Grocery,2991,150
2023-01-03,3,1,Electronics,3624,109
2023-01-03,3,2,Clothing,3551,157
2023-01-03,3,3,Grocery,504,152
2023-01-03,4,1,Electronics,1376,421
2023-01-03,4,2,Clothing,4642,404
2023-01-03,4,3,Grocery,4864,419
2023-01-03,5,1,Electronics,1135,155
2023-01-03,5,2,Clothing,2193,196
2023-01-03,5,3,Grocery,619,368
2023-01-04,1,1,Electronics,4175,107
2023-01-04,1,2,Clothing,1869,278
2023-01-04,1,3,Grocery,616,367
2023-01-04,2,1,Electronics,3338,176
2023-01-04,2,2,Clothing,2431,178
2023-01-04,2,3,Grocery,1581,171
2023-01-04,3,1,Electronics,1012,288
2023-01-04,3,2,Clothing,3349,145
2023-01-04,3,3,Grocery,1059,138
2023-01-04,4,1,Electronics,3843,238
2023-01-04,4,2,Clothing,4570,241
2023-01-04,4,3,Grocery,1970,118
2023-01-04,5,1,Electronics,2794,125
2023-01-04,5,2,Clothing,4749,193
2023-01-04,5,3,Grocery,4006,135
2023-01-05,1,1,Electronics,3244,334
2023-01-05,1,2,Clothing,4545,269
2023-01-05,1,3,Grocery,3618,143
2023-01-05,2,1,Electronics,3559,253
2023-01-05,2,2,Clothing,3459,267
2023-01-05,2,3,Grocery,2979,390
2023-01-05,3,1,Electronics,2135,338
2023-01-05,3,2,Clothing,2257,406
2023-01-05,3,3,Grocery,2570,299
2023-01-05,4,1,Electronics,3349,229
2023-01-05,4,2,Clothing,4230,491
2023-01-05,4,3,Grocery,2131,306
2023-01-05,5,1,Electronics,1515,374
2023-01-05,5,2,Clothing,3587,329
2023-01-05,5,3,Grocery,835,296
2023-01-06,1,1,Electronics,1395,209
2023-01-06,1,2,Clothing,4046,389
2023-01-06,1,3,Grocery,2187,445
2023-01-06,2,1,Electronics,4246,429
2023-01-06,2,2,Clothing,2068,466
2023-01-06,2,3,Grocery,3238,476
2023-01-06,3,1,Electronics,4413,92
2023-01-06,3,2,Clothing,4880,446
2023-01-06,3,3,Grocery,4607,144
2023-01-06,4,1,Electronics,3873,435
2023-01-06,4,2,Clothing,3046,291
2023-01-06,4,3,Grocery,2582,264
2023-01-06,5,1,Electronics,3396,139
2023-01-06,5,2,Clothing,1275,142
2023-01-06,5,3,Grocery,2125,467
2023-01-07,1,1,Electronics,614,154
2023-01-07,1,2,Clothing,4474,245
2023-01-07,1,3,Grocery,1325,163
2023-01-07,2,1,Electronics,2016,124
2023-01-07,2,2,Clothing,912,425
2023-01-07,2,3,Grocery,1228,326
2023-01-07,3,1,Electronics,3308,213
2023-01-07,3,2,Clothing,3965,406
2023-01-07,3,3,Grocery,3004,457
2023-01-07,4,1,Electronics,3286,226
2023-01-07,4,2,Clothing,1622,85
2023-01-07,4,3,Grocery,2643,201
2023-01-07,5,1,Electronics,4632,317
2023-01-07,5,2,Clothing,3940,232
2023-01-07,5,3,Grocery,2826,266
2023-01-08,1,1,Electronics,3414,410
2023-01-08,1,2,Clothing,4452,111
2023-01-08,1,3,Grocery,1095,417
2023-01-08,2,1,Electronics,1228,391
2023-01-08,2,2,Clothing,4992,236
2023-01-08,2,3,Grocery,895,494
2023-01-08,3,1,Electronics,4671,314
2023-01-08,3,2,Clothing,3002,333
2023-01-08,3,3,Grocery,1217,272
2023-01-08,4,1,Electronics,4077,416
2023-01-08,4,2,Clothing,643,422
2023-01-08,4,3,Grocery,3640,148
2023-01-08,5,1,Electronics,4991,74
2023-01-08,5,2,Clothing,3438,102
2023-01-08,5,3,Grocery,3722,193
2023-01-09,1,1,Electronics,3116,88
2023-01-09,1,2,Clothing,2656,230
2023-01-09,1,3,Grocery,3482,447
2023-01-09,2,1,Electronics,3794,171
2023-01-09,2,2,Clothing,1656,212
2023-01-09,2,3,Grocery,1232,284
2023-01-09,3,1,Electronics,1453,450
2023-01-09,3,2,Clothing,3824,279
2023-01-09,3,3,Grocery,2042,223
2023-01-09,4,1,Electronics,1691,219
2023-01-09,4,2,Clothing,3493,332
2023-01-09,4,3,Grocery,3181,243
2023-01-09,5,1,Electronics,2040,78
2023-01-09,5,2,Clothing,3736,471
2023-01-09,5,3,Grocery,2886,185
2023-01-10,1,1,Electronics,1888,370
2023-01-10,1,2,Clothing,1865,194
2023-01-10,1,3,Grocery,1010,376
2023-01-10,2,1,Electronics,4812,350
2023-01-10,2,2,Clothing,1655,341
